Office,0
Adambakkam,12.2
Adyar,9.5
Alandur,13.5
Alapakkam,15
Alwarpet,11.8
Alwarthirunagar,17.6
Ambattur,25.4
Aminjikarai,16.2
Anna Nagar,18.5
Annanur,28.7
Arumbakkam,16.7
Ashok Nagar,14.2
Avadi,30.8
Ayanavaram,20.1
Beemannapettai,9.5
Besant Nagar,9.2
Basin Bridge,18.3
Chepauk,14.1
Chetput,16.2
Chintadripet,14.1
Chitlapakkam,11.8
Choolai,17.6
Choolaimedu,14.7
Chrompet,12.5
Egmore,16.7
Ekkaduthangal,11.4
Eranavur,31.2
Ennore,32.9
Foreshore Estate,13.2
Fort St. George,18.1
George Town,18.8
Gopalapuram,12.6
Government Estate,14.1
Guindy,10.3
Guduvancheri,21.2
IIT Madras,7.1
Injambakkam,6.8
ICF,20.5
Iyyapanthangal,20.3
Jafferkhanpet,12.1
Kadambathur,39.8
Karapakkam,4.3
Kattivakkam,30.4
Kattupakkam,18.5
Kazhipattur,9.3
K.K. Nagar,14.3
Keelkattalai,9.7
Kilpauk,16.4
Kodambakkam,14.5
Kodungaiyur,22.3
Kolathur,22.8
Korattur,23.6
Korukkupet,23.4
Kottivakkam,5.4
Kotturpuram,9.1
Kottur,9.1
Kovur,21.7
Koyambedu,18.9
Kundrathur,19.8
Madhavaram,25.9
Madhavaram Milk Colony,26.9
Madipakkam,7.8
Madambakkam,15.5
Maduravoyal,18.5
Manali,27.4
Manali New Town,28.4
Manapakkam,14
Mandaveli,12.1
Mangadu,21.8
Mannady,18.5
Mathur,28.9
Medavakkam,5.2
Meenambakkam,10.2
MGR Nagar,12.7
Minjur,37.4
Mogappair,21.8
MKB Nagar,22.8
Mount Road,13.9
Moolakadai,24.5
Moulivakkam,18.2
Mugalivakkam,16.4
Mudichur,15.6
Mylapore,12.2
Nandanam,10.8
Nanganallur,9.6
Nanmangalam,10.4
Neelankarai,5.2
Nemilichery,17.6
Nesapakkam,15.3
Nolambur,21.2
Noombal,19.5
Nungambakkam,14.6
Otteri,20.3
Padi,21.9
Pakkam,35.7
Palavakkam,5.3
Pallavaram,14.1
Pallikaranai,7.5
Pammal,13.6
Park Town,17.7
Parry's Corner,18.4
Pattabiram,30.8
Pattaravakkam,26.1
Pazhavanthangal,10
Peerkankaranai,14.7
Perambur,21.3
Peravallur,23.2
Perumbakkam,5.2
Perungalathur,16.7
Perungudi,3.4
Pozhichalur,12.4
Poonamallee,22.7
Porur,18.5
Pudupet,15.1
Pulianthope,20.2
Purasaiwalkam,17.9
Puthagaram,26.8
Puzhal,26.2
Puzhuthivakkam/Ullagaram,8
Raj Bhavan,9.9
Ramavaram,14.3
Red Hills,29.8
Royapettah,14.5
Royapuram,21
Saidapet,10.6
Saligramam,16.7
Santhome,13.5
Sembakkam,12.6
Selaiyur,14.5
Shenoy Nagar,17.1
Sholavaram,35.1
Sholinganallur,5
Sikkarayapuram,23.5
Sowcarpet,18.4
St.Thomas Mount,9.4
Surapet,25.8
Tambaram,15.8
Teynampet,12.2
Tharamani,4.6
T. Nagar,12.7
Thirumangalam,18.6
Thirumullaivoyal,26.8
Thiruneermalai,16.4
Thiruninravur,32.7
Thiruvanmiyur,6.5
Thiruvallur,44.7
Tiruverkadu,22.4
Thiruvotriyur,30.5
Thuraipakkam,2.2
Tirusulam,11.4
Tiruvallikeni,14.9
Tondiarpet,23.5
United India Colony,15.3
Vandalur,19.4
Vadapalani,14.8
Valasaravakkam,16.7
Vallalar Nagar,25.6
Vanagaram,20.3
Velachery,7.5
Velappanchavadi,20.8
Villivakkam,21.8
Virugambakkam,15.2
Vyasarpadi,22.5
Washermanpet,21.7
West Mambalam,13.6
